Year,ID,Feelings,Before,During,After
2018,2018-1,"At first, the simulation seemed like a really tough exercise to me. Managing a crisis requires a lot of patience and reflection. I was then really stressed during the first meeting. When we assigned the roles, I was nervous and discussed with my classmates to understand better what I had to do. The first meeting was really helpful, indeed we got to know each other and by that gain confidence in our project and team. By that I could also understand each members’ personality leading me to know how they deal with stress and what kind of work methods they use. After the first meeting, I already felt more confident and encouraged to get a good grade on this exam. The second meeting was even more helpful. The second time we met helped everyone reassure himself/herself in that we could do it. The more prepared we were getting the less stressed we felt. I really had a feeling of confidence and preparation at the end of the meeting leading me to believe that everybody was ready for the simulation the next morning. We were all aware of each other’s strengths, which reinforced the group’s relations. The day of the simulation was obviously a little stressful. It is at the end an exam. When we got into the simulation room I was also a little scared by the reality of the simulation, meaning that all the room was prepared and looked so professional strengthening the fact the exam was real. But as soon as the countdown went on the screen and the case appeared I was relieved. Indeed, I knew the case, I had heard about the crisis and knew the facts and issues that we were going to deal with.","At first, the simulation seemed like a really tough exercise to me. Managing a crisis requires a lot of patience and reflection. I was then really stressed during the first meeting. When we assigned the roles, I was nervous and discussed with my classmates to understand better what I had to do. The first meeting was really helpful, indeed we got to know each other and by that gain confidence in our project and team. By that I could also understand each members’ personality leading me to know how they deal with stress and what kind of work methods they use. After the first meeting, I already felt more confident and encouraged to get a good grade on this exam. The second meeting was even more helpful. The second time we met helped everyone reassure himself/herself in that we could do it. The more prepared we were getting the less stressed we felt. I really had a feeling of confidence and preparation at the end of the meeting leading me to believe that everybody was ready for the simulation the next morning. We were all aware of each other’s strengths, which reinforced the group’s relations.","The day of the simulation was obviously a little stressful. It is at the end an exam. When we got into the simulation room I was also a little scared by the reality of the simulation, meaning that all the room was prepared and looked so professional strengthening the fact the exam was real. But as soon as the countdown went on the screen and the case appeared I was relieved. Indeed, I knew the case, I had heard about the crisis and knew the facts and issues that we were going to deal with.",the
2018,2018-2,"As we did not choose the people we work with before the simulation, I was feeling anxious that there may be some difficulties during the work process. Before experiencing it, the idea of the crisis simulation was threatening to me as I was thinking of the mistakes that could occur under pressure. I was concerned for one of our team members, due to his lack of communication during the preparation process, which made me feel stressed on the day before the simulation. In the beginning of the simulation I was worried and was thinking about all the possible questions I could be asked. During the first call, I organized my thoughts and started feeling calmer, which helped me to be more confident during the second call. After the simulation and the comments of the journalist, I felt more at ease. I originally felt that this experience wouldn’t be a good one, as I found that my team were not as serious as I was. I realized that the feedback after the simulation and evaluation are critical and very important for identifying positive outcomes from such experiences and could build essential skills for my future development.","As we did not choose the people we work with before the simulation, I was feeling anxious that there may be some difficulties during the work process. Before experiencing it, the idea of the crisis simulation was threatening to me as I was thinking of the mistakes that could occur under pressure. I was concerned for one of our team members, due to his lack of communication during the preparation process, which made me feel stressed on the day before the simulation.","In the beginning of the simulation I was worried and was thinking about all the possible questions I could be asked. During the first call, I organized my thoughts and started feeling calmer, which helped me to be more confident during the second call.","After the simulation and the comments of the journalist, I felt more at ease. I originally felt that this experience wouldn’t be a good one, as I found that my team were not as serious as I was. I realized that the feedback after the simulation and evaluation are critical and very important for identifying positive outcomes from such experiences and could build essential skills for my future development."
2018,2018-3,"Prior the crisis simulation I felt motivated to do a good job with my team. I was positive minded because I knew that we were going to work efficiently together. The fact that we all share the pursuit of achieving a distinction grade, it made the commitment and hard work equal and competitive for everyone. However, my biggest concern was to not stay calm and serene dealing with the phone call complaints; specifically, going blank with the English language was my main worry. The day of the assignment I was not feeling myself due to health problems and my mind focus was not exactly like I wanted it to be. However, I tried my best in the spontaneity of the moment. Each member had their own roles but we were all working collectively to support each member if needed. I found myself trying to help everyone in every task and share my ideas about good responses to social media and press release, besides my own task. I had a good attitude to stay calm with the team and felt that I shared a good contribution to the overall development of the tasks. I made sure every member was enjoying the simulation by giving feedback, asking about how they were feeling and giving encouraging feedback via voicing that we were on track to achieving our target. Frustration at one point was felt as I noticed when conveying my message across that little attention was being paid from my colleagues. During the phone call, I felt that I started with a positive and decisive attitude but as the situation became more intense and challenging, my biggest concern occurred. I went blank a couple of times and my answers to some attacking statements were weak. I felt my English skills in that moment could not process the solid and developed responses I know I can do, but being under pressure in that situation made it more challenging. Overall, I believe multiple positives can be pointed with my team as; I managed to maintain a professional attitude, following the same steps alike to what was practiced in class simulation tasks and in the previous meetings with my team. Although I believe the feedback received from the PR practitioner was severe, I am holding a receptive attitude to improve my learning on how to adopt a serene attitude under pressure, as well as working on my communication skills; and gain incentive to become acquainted of different techniques to improve leadership skills and 'be heard'.","Prior the crisis simulation I felt motivated to do a good job with my team. I was positiveminded because I knew that we were going to work efficiently together. The fact that we all share the pursuit of achieving a distinction grade, it made the commitment and hard work equal and competitive for everyone. However, my biggest concern was to not stay calm and serene dealing with the phone call complaints; specifically, going blank with the English language was my main worry","The day of the assignment I was not feeling myself due to health problems and my mind focus was not exactly like I wanted it to be. However, I tried my best in the spontaneity of the moment. Each member had their own roles but we were all working collectively to support each member if needed. I found myself trying to help everyone in every task and share my ideas about good responses to social media and press release, besides my own task. I had a good attitude to stay calm with the team and felt that I shared a good contribution to the overall development of the tasks. I made sure every member was enjoying the simulation by giving feedback, asking about how they were feeling and giving encouraging feedback via voicing that we were on track to achieving our target. Frustration at one point was felt as I noticed when conveying my message across that little attention was being paid from my colleagues. During the phone call, I felt that I started with a positive and decisive attitude but as the situation became more intense and challenging, my biggest concern occurred. I went blank a couple of times and my answers to some attacking statements were weak. I felt my English skills in that moment could not process the solid and developed responses I know I can do, but being under pressure in that situation made it more challenging.","Overall, I believe multiple positives can be pointed with my team as; I managed to maintain a professional attitude, following the same steps alike to what was practiced in class simulation tasks and in the previous meetings with my team. Although I believe the feedback received from the PR practitioner was severe, I am holding a receptive attitude to improve my learning on how to adopt a serene attitude under pressure, as well as working on my communication skills; and gain incentive to become acquainted of different techniques to improve leadership skills and 'be heard'."
2018,2018-4,"The meetings before the simulation helped us a lot, indeed we felt more comfortable with each other, we also gained confidence and less stress. But during the simulation, I felt a little stressed due to the timing, I was afraid that we could not respect that, but this stress went away thanks to the group’s cohesion and our previous meetings. After that, I was very focused because we had only two hours, so I needed to be efficient. The simulation case was really interesting we had a lot to do and we did it on time, and I was very impressed because everything seemed real, the phone call, the document printed on time for each task to do and also the information broadcast one the TV, so I really felt like it was a real situation and that we have been working for the real company as a Team Manager. When the situation ended, I thought “It is already the end?”, the two hours passed very quickly, and seemed to me only few minutes and I wanted to continue it. With my team we were very satisfied with the work we provided all together and how we handle and respond to the crisis. If I had to do it again, I will do it gladly with the same group.","The meetings before the simulation helped us a lot, indeed we felt more comfortable with each other, we also gained confidence and less stress.","But during the simulation, I felt a little stressed due to the timing, I was afraid that we could not respect that, but this stress went away thanks to the group’s cohesion and our previous meetings. After that, I was very focused because we had only two hours, so I needed to be efficient. The simulation case was really interesting we had a lot to do and we did it on time, and I was very impressed because everything seemed real, the phone call, the document printed on time for each task to do and also the information broadcast one the TV, so I really felt like it was a real situation and that we have been working for the real company as a Team Manager.","When the situation ended, I thought “It is already the end?”, the two hours passed very quickly, and seemed to me only few minutes and I wanted to continue it. With my team we were very satisfied with the work we provided all together and how we handle and respond to the crisis. If I had to do it again, I will do it gladly with the same group."
2018,2018-5,"Several feelings came to me since the time I knew about the crisis simulation until the end of the crisis. First, I was a little bit stress about the fact I will be in group with people I don’t know and working with them on a crisis simulation. Then, when I met them, they make me confident because we were all organize together, and we defined well our jobs in this situation. Plus, most of the team members were Welsh, so they told me that if I needed help they were here for me because they knew that English was not my mother tong, it helped me being more confident about the crisis. During the crisis simulation I was anxious because I didn’t expect it will be like this but then I just calm myself and just telling me to focus on my job. The more the minutes passed, the more I was confident in what I was doing. Indeed, we were helping each other’s because the information’s came out but not all at the same time. For example, you helped someone else when you didn’t have a mission in the task and vice versa. This made me more comfortable than at the beginning because everybody was helping and bringing thoughts to the work. The time did not seem very long because the events happened very quickly, and I was really focus and concerning with the situation. That’s why I liked the situation because it made me involved on it and I tried to resolve the problem as much as I can. At the middle of the simulation I was a little bit tired because of all the events, indeed, the more the minutes went by, the more the situation was getting worse. At the end of the simulation, I felt released from the pressure and I felt like I did my job well.","Several feelings came to me since the time I knew about the crisis simulation until the end of the crisis. First, I was a little bit stress about the fact I will be in group with people I don’t know and working with them on a crisis simulation. Then, when I met them, they make me confident because we were all organize together, and we defined well our jobs in this situation. Plus, most of the team members were Welsh, so they told me that if I needed help they were here for me because they knew that English was not my mother tong, it helped me being more confident about the crisis.","During the crisis simulation I was anxious because I didn’t expect it will be like this but then I just calm myself and just telling me to focus on my job. The more the minutes passed, the more I was confident in what I was doing. Indeed, we were helping each other’s because the information’s came out but not all at the same time. For example, you helped someone else when you didn’t have a mission in the task and vice versa. This made me more comfortable than at the beginning because everybody was helping and bringing thoughts to the work. The time did not seem very long because the events happened very quickly, and I was really focus and concerning with the situation. That’s why I liked the situation because it made me involved on it and I tried to resolve the problem as much as I can. At the middle of the simulation I was a little bit tired because of all the events, indeed, the more the minutes went by, the more the situation was getting worse.","At the end of the simulation, I felt released from the pressure and I felt like I did my job well."
2018,2018-6,"When my lecturer informed me that I was required to work in a team and respond to a real PR crisis, I became slightly sceptical since I generally prefer individual work. However, when I discovered that I was going to be placed in teams based on my mark for the first assignment, I felt more relieved as I considered it beneficial to work with people who were on the same level as I was. At the same time, the fact that I had the opportunity to practise each of the tasks in mock simulations within class made me feel less stressed and more confident about the crisis simulation. After I had met my teammates, I felt that they were very open-minded and sociable which facilitated our level of communication and cooperation within the team. Even so, before the examination occurred, I thought that my group showed reluctance to being the spokesperson. Although I was quite content with the role I received (social media) and relaxed when one of my teammates offered to be the spokesperson, I felt that I should have volunteered to be one in charge of the telephone calls instead as that would have challenged me to become more comfortable to speaking to people on the phone. During the day of the crisis simulation, I felt extremely anxious because I had never experienced anything like that before and the fact that I knew I would be monitored by various PR professionals and practitioners made the situation even more stressful for me. In addition, due to the examination day running behind schedule, I was not called for the examination on time which made me feel tenser. Despite everything, all my emotions and anxiety had vanished once I was sat in the room with my teammates, completing the tasks I received. I started to feel more confident as I had managed to express most of my ideas to my teammates mainly because everyone displayed positive attitudes and energy. However, I also felt like my suggestions have not been entirely heard or understood at times due to my nervousness. After the crisis simulation ended, I felt relaxed and I thought the experience overall was overwhelming and for the very first time I enjoyed working in a team. The positive feedback that my team received from the supervisor made me reconsider my performance on the examination as I initially felt worried about my performance.","When my lecturer informed me that I was required to work in a team and respond to a real PR crisis, I became slightly sceptical since I generally prefer individual work. However, when I discovered that I was going to be placed in teams based on my mark for the first assignment, I felt more relieved as I considered it beneficial to work with people who were on the same level as I was. At the same time, the fact that I had the opportunity to practise each of the tasks in mock simulations within class made me feel less stressed and more confident about the crisis simulation. After I had met my teammates, I felt that they were very open-minded and sociable which facilitated our level of communication and cooperation within the team. Even so, before the examination occurred, I thought that my group showed reluctance to being the spokesperson. Although I was quite content with the role I received (social media) and relaxed when one of my teammates offered to be the spokesperson, I felt that I should have volunteered to be one in charge of the telephone calls instead as that would have challenged me to become more comfortable to speaking to people on the phone.","During the day of the crisis simulation, I felt extremely anxious because I had never experienced anything like that before and the fact that I knew I would be monitored by various PR professionals and practitioners made the situation even more stressful for me. In addition, due to the examination day running behind schedule, I was not called for the examination on time which made me feel tenser. Despite everything, all my emotions and anxiety had vanished once I was sat in the room with my teammates, completing the tasks I received. I started to feel more confident as I had managed to express most of my ideas to my teammates mainly because everyone displayed positive attitudes and energy. However, I also felt like my suggestions have not been entirely heard or understood at times due to my nervousness.","After the crisis simulation ended, I felt relaxed and I thought the experience overall was overwhelming and for the very first time I enjoyed working in a team. The positive feedback that my team received from the supervisor made me reconsider my performance on the examination  as I initially felt worried about my performance."
2018,2018-7,"Before the crisis simulation i felt a little bit stressed, but when i talked with my team i realised that i had nothing to worry about. During the crisis simulation i felt confident and comfortable with my team. I felt that there were no wrong answer. At the begining i was expecting from members of my team to lead the simulation and to tell me what i had to do, but i quickly understood that it was up to me to assign myself something to do. So as soon as the different information about the festival came and we split the articles between every members i had the feeling that my team trusted me to point out the relevant informations. Then the more the simulation went by the more confident i felt and eventually i was totaly comfortable. During the crisis simulation one of my main preocupation was to check out the time. I was stressed to run out of time without finishing the task, but i realised that the time alloted was enough to analyse and and solve the problems. Also, at the begining of the crisis i felt myself slow compared to some of my team mates, because when the crisis simulation started they were instantly ready and started to give solution. Whereas me, i needed a little bit more time to analyse, point out key elements and resolve the problem. However, once i was totally confident and on a roll i felt totally in harmony with my team. After the crisis simulation i realised how insurmountable it was not, but above all i felt happy to be done with that.","Before the crisis simulation i felt a little bit stressed, but when i talked with my team i realised that i had nothing to worry about. During the crisis simulation i felt confident and comfortable with my team. I felt that there were no wrong answer. At the begining i was expecting from members of my team to lead the simulation and to tell me what i had to do, but i quickly understood that it was up to me to assign myself something to do.","So as soon as the different information about the festival came and we split the articles between every members i had the feeling that my team trusted me to point out the relevant informations. Then the more the simulation went by the more confident i felt and eventually i was totaly comfortable. During the crisis simulation one of my main preocupation was to check out the time. I was stressed to run out of time without finishing the task, but i realised that the time alloted was enough to analyse and and solve the problems. Also, at the begining of the crisis i felt myself slow compared to some of my team mates, because when the crisis simulation started they were instantly ready and started to give solution. Whereas me, i needed a little bit more time to analyse, point out key elements and resolve the problem. However, once i was totally confident and on a roll i felt totally in harmony with my team.","After the crisis simulation i realised how insurmountable it was not, but above all i felt happy to be done with that."
2018,2018-8,"As the simulation lasts 2 hours, we had to control the time. This lack of time was very stressful as we had to take into account the count down. It was difficult for me to focus without thinking about the minutes. The time is the most frustrating point in the simulation. Furthermore, the fact that someone is in the room with us, observing our work is very stressful at the beginning, then, after we were very focused on the simulation, I didn’t think about it anymore, I was only thinking about the missions we had to achieve. During the crisis simulation, I was only thinking about each of the tasks we had to do. I was always trying to search for the right way of saying something without customers and media taking it the wrong way. Furthermore, even if we met several times before with my team, we didn’t know each other so we didn’t know all of our reactions, but we handled it very good in my opinion. I appreciated the fact that we were always communicating and sharing our thoughts as the simulation was going on, it really helped us move forward and deliver our best. When it was written on the TV, that the simulation was done, we were all impressed and we all looked at each other, impressed we were here for already 2 hours and that the simulation was done. After the simulation ended, I have thought about what we could have done better, what we did wrong and how. I was reassuring when the supervisor told us the way we handled the situation was very good. It proved me we did a good team work.",the,"As the simulation lasts 2 hours, we had to control the time. This lack of time was very stressful as we had to take into account the count down. It was difficult for me to focus without thinking about the minutes. The time is the most frustrating point in the simulation. Furthermore, the fact that someone is in the room with us, observing our work is very stressful at the beginning, then, after we were very focused on the simulation, I didn’t think about it anymore, I was only thinking about the missions we had to achieve. During the crisis simulation, I was only thinking about each of the tasks we had to do. I was always trying to search for the right way of saying something without customers and media taking it the wrong way. Furthermore, even if we met several times before with my team, we didn’t know each other so we didn’t know all of our reactions, but we handled it very good in my opinion. I appreciated the fact that we were always communicating and sharing our thoughts as the simulation was going on, it really helped us move forward and deliver our best.","When it was written on the TV, that the simulation was done, we were all impressed and we all looked at each other, impressed we were here for already 2 hours and that the simulation was done. After the simulation ended, I have thought about what we could have done better, what we did wrong and how. I was reassuring when the supervisor told us the way we handled the situation was very good. It proved me we did a good team work."
2018,2018-9,"When the professor mentioned the PR Crisis Simulation in the beginning of the course, I felt very interested about it; I founded enthralling the fact of being working at something which combines improvisation and team work. Moreover, I thought that it would be a funny and very useful experience. The previous days, however, I felt I was not prepared enough, even though I had met with my team many times and we had planned what we were going to do, but the preparation did not take as much time as I expected. However, at the same time I thought that it would be fine and that we will do it good because we had agreed everything in the meetings. During the experience, I felt more confident than I expected. Everything was going on more or less as planned: we worked well as a team and I did not feel we lost control at any time during the crisis. I enjoyed the simulation most of the time. After the simulation I felt really good. I had the feeling of having done a good job and having worked well with my team. What I had prepared was useful during the simulation.","When the professor mentioned the PR Crisis Simulation in the beginning of the course, I felt very interested about it; I founded enthralling the fact of being working at something which combines improvisation and team work. Moreover, I thought that it would be a funny and very useful experience. The previous days, however, I felt I was not prepared enough, even though I had met with my team many times and we had planned what we were going to do, but the preparation did not take as much time as I expected. However, at the same time I thought that it would be fine and that we will do it good because we had agreed everything in the meetings.","During the experience, I felt more confident than I expected. Everything was going on more or less as planned: we worked well as a team and I did not feel we lost control at any time during the crisis. I enjoyed the simulation most of the time.",After the simulation I felt really good. I had the feeling of having done a good job and having worked well with my team. What I had prepared was useful during the simulation.
2018,2018-10,"Before the PR crisis simulation I was not stressed because I felt confident with my role. The preparation during the tutorials and the meetings with my team give us the opportunity to planned how to work as a team and make sure that we’ll coordinate our work well. During the simulation, I was a bit worried by the timer but as we planned we helped each other in each task so it helped a lot. It was a bit hard and confusing to start but thanks to the two managers, we found the motivation and the good stress to work efficiently. Before the simulation the others were quite stressed because no one knew the subject of the crisis and they were a bit scared to be surprise by the tasks. During the crisis they were also comfortable in helping everyone so they were less stressed when they had to deal with their assigned task. Plus, everyone was thankful to the entire team when it comes to bring other ideas and opinions to improve our work. So, our team plan reassured everyone. After the crisis I didn’t really know how to feel because I couldn’t be certain of the success of the crisis simulation, even after the analysis of the simulation, but I felt really proud of us and our teamwork. Me and my team have quite the same opinion about the simulation, which is important in our module so we can realize the seriousness of a crisis, the stress made by it and also the importance of the time in dealing with a crisis, to respond, to react, etc. It is also an opportunity to evaluate our own knowledge and capacity to deal with a crisis as it was real.","Before the PR crisis simulation I was not stressed because I felt confident with my role. The preparation during the tutorials and the meetings with my team give us the opportunity to planned how to work as a team and make sure that we’ll coordinate our work well. During the simulation, I was a bit worried by the timer but as we planned we helped each other in each task so it helped a lot. It was a bit hard and confusing to start but thanks to the two managers, we found the motivation and the good stress to work efficiently. Before the simulation the others were quite stressed because no one knew the subject of the crisis and they were a bit scared to be surprise by the tasks.","During the crisis they were also comfortable in helping everyone so they were less stressed when they had to deal with their assigned task. Plus, everyone was thankful to the entire team when it comes to bring other ideas and opinions to improve our work. So, our team plan reassured everyone.","After the crisis I didn’t really know how to feel because I couldn’t be certain of the success of the crisis simulation, even after the analysis of the simulation, but I felt really proud of us and our teamwork. Me and my team have quite the same opinion about the simulation, which is important in our module so we can realize the seriousness of a crisis, the stress made by it and also the importance of the time in dealing with a crisis, to respond, to react, etc. It is also an opportunity to evaluate our own knowledge and capacity to deal with a crisis as it was real."
