"","Episode","word","value"
"1",NA,"abandon",-2
"2",NA,"abandoned",-2
"3",NA,"abandons",-2
"4",NA,"abducted",-2
"5",NA,"abduction",-2
"6",NA,"abductions",-2
"7",NA,"abhor",-3
"8",NA,"abhorred",-3
"9",NA,"abhorrent",-3
"10",NA,"abhors",-3
"11",NA,"abilities",2
"12","s1e6","ability",2
"13",NA,"aboard",1
"14",NA,"absentee",-1
"15",NA,"absentees",-1
"16",NA,"absolve",2
"17",NA,"absolved",2
"18",NA,"absolves",2
"19",NA,"absolving",2
"20",NA,"absorbed",1
"21",NA,"abuse",-3
"22",NA,"abused",-3
"23",NA,"abuses",-3
"24",NA,"abusive",-3
"25",NA,"accept",1
"26",NA,"accepted",1
"27",NA,"accepting",1
"28",NA,"accepts",1
"29",NA,"accident",-2
"30",NA,"accidental",-2
"31",NA,"accidentally",-2
"32",NA,"accidents",-2
"33",NA,"accomplish",2
"34",NA,"accomplished",2
"35",NA,"accomplishes",2
"36",NA,"accusation",-2
"37",NA,"accusations",-2
"38",NA,"accuse",-2
"39",NA,"accused",-2
"40",NA,"accuses",-2
"41",NA,"accusing",-2
"42",NA,"ache",-2
"43",NA,"achievable",1
"44",NA,"aching",-2
"45",NA,"acquit",2
"46",NA,"acquits",2
"47",NA,"acquitted",2
"48",NA,"acquitting",2
"49",NA,"acrimonious",-3
"50",NA,"active",1
"51",NA,"adequate",1
"52",NA,"admire",3
"53",NA,"admired",3
"54",NA,"admires",3
"55",NA,"admiring",3
"56",NA,"admit",-1
"57",NA,"admits",-1
"58",NA,"admitted",-1
"59",NA,"admonish",-2
"60",NA,"admonished",-2
"61",NA,"adopt",1
"62",NA,"adopts",1
"63",NA,"adorable",3
"64",NA,"adore",3
"65",NA,"adored",3
"66",NA,"adores",3
"67",NA,"advanced",1
"68",NA,"advantage",2
"69",NA,"advantages",2
"70",NA,"adventure",2
"71",NA,"adventures",2
"72",NA,"adventurous",2
"73",NA,"affected",-1
"74",NA,"affection",3
"75",NA,"affectionate",3
"76",NA,"afflicted",-1
"77",NA,"affronted",-1
"78",NA,"afraid",-2
"79",NA,"aggravate",-2
"80",NA,"aggravated",-2
"81",NA,"aggravates",-2
"82",NA,"aggravating",-2
"83",NA,"aggression",-2
"84",NA,"aggressions",-2
"85",NA,"aggressive",-2
"86",NA,"aghast",-2
"87",NA,"agog",2
"88",NA,"agonise",-3
"89",NA,"agonised",-3
"90",NA,"agonises",-3
"91",NA,"agonising",-3
"92",NA,"agonize",-3
"93",NA,"agonized",-3
"94",NA,"agonizes",-3
"95",NA,"agonizing",-3
"96",NA,"agree",1
"97",NA,"agreeable",2
