"","Episode","word","sentiment"
"1","s1e1","gone",NA
"2","s1e1","fishing",NA
"3","s1e1","the",NA
"4","s1e1","lonesome","negative"
"5","s1e1","foghorn",NA
"6","s1e1","blows",NA
"7","s1e1","oh",NA
"8","s1e1","dear",NA
"9","s1e1","lucy",NA
"10","s1e1","lucy",NA
"11","s1e1","this",NA
"12","s1e1","is",NA
"13","s1e1","pete",NA
"14","s1e1","martell",NA
"15","s1e1","lucy",NA
"16","s1e1","put",NA
"17","s1e1","harry",NA
"18","s1e1","on",NA
"19","s1e1","the",NA
"20","s1e1","horn",NA
"21","s1e1","sheriff",NA
"22","s1e1","it's",NA
"23","s1e1","pete",NA
"24","s1e1","martell",NA
"25","s1e1","up",NA
"26","s1e1","at",NA
"27","s1e1","the",NA
"28","s1e1","mill",NA
"29","s1e1","um",NA
"30","s1e1","i'm",NA
"31","s1e1","gonna",NA
"32","s1e1","transfer",NA
"33","s1e1","it",NA
"34","s1e1","to",NA
"35","s1e1","the",NA
"36","s1e1","phone",NA
"37","s1e1","on",NA
"38","s1e1","the",NA
"39","s1e1","table",NA
"40","s1e1","by",NA
"41","s1e1","the",NA
"42","s1e1","red",NA
"43","s1e1","chair",NA
"44","s1e1","the",NA
"45","s1e1","red",NA
"46","s1e1","chair",NA
"47","s1e1","against",NA
"48","s1e1","the",NA
"49","s1e1","wall",NA
"50","s1e1","the",NA
"51","s1e1","little",NA
"52","s1e1","table",NA
"53","s1e1","with",NA
"54","s1e1","the",NA
"55","s1e1","lamp",NA
"56","s1e1","on",NA
"57","s1e1","it",NA
"58","s1e1","the",NA
"59","s1e1","lamp",NA
"60","s1e1","that",NA
"61","s1e1","we",NA
"62","s1e1","moved",NA
"63","s1e1","from",NA
"64","s1e1","the",NA
"65","s1e1","corner",NA
"66","s1e2","diane",NA
"67","s1e2","6",NA
"68","s1e2","18",NA
"69","s1e2","a.m",NA
"70","s1e2","room",NA
"71","s1e2","315",NA
"72","s1e2","great","positive"
"73","s1e2","northern",NA
"74","s1e2","hotel",NA
"75","s1e2","up",NA
"76","s1e2","here",NA
"77","s1e2","in",NA
"78","s1e2","twin",NA
"79","s1e2","peaks",NA
"80","s1e2","slept",NA
"81","s1e2","pretty","positive"
"82","s1e2","well","positive"
"83","s1e2","non",NA
"84","s1e2","smoking",NA
"85","s1e2","room",NA
"86","s1e2","there's",NA
"87","s1e2","no",NA
"88","s1e2","tobacco",NA
"89","s1e2","smell","negative"
"90","s1e2","that's",NA
"91","s1e2","a",NA
"92","s1e2","nice","positive"
"93","s1e2","consideration",NA
"94","s1e2","for",NA
"95","s1e2","the",NA
"96","s1e2","business",NA
"97","s1e2","traveler",NA
"98","s1e2","a",NA
"99","s1e2","hint",NA
"100","s1e2","of",NA
"101","s1e2","douglas",NA
"102","s1e2","fir",NA
"103","s1e2","needles",NA
"104","s1e2","in",NA
"105","s1e2","the",NA
"106","s1e2","air",NA
"107","s1e2","as",NA
"108","s1e2","sheriff",NA
"109","s1e2","truman",NA
"110","s1e2","indicated",NA
"111","s1e2","they",NA
"112","s1e2","would",NA
"113","s1e2","everything",NA
"114","s1e2","this",NA
"115","s1e2","hotel",NA
"116","s1e2","promised","positive"
"117","s1e2","they've",NA
"118","s1e2","delivered",NA
"119","s1e2","clean","positive"
"120","s1e2","reasonably","positive"
"121","s1e2","priced",NA
"122","s1e2","accommodations",NA
"123","s1e2","telephone",NA
"124","s1e2","works","positive"
"125","s1e3","previously",NA
"126","s1e3","we'll",NA
"127","s1e3","talk",NA
"128","s1e3","later",NA
"129","s1e3","albert",NA
"130","s1e3","if",NA
"131","s1e3","you",NA
"132","s1e3","come",NA
"133","s1e3","up",NA
"134","s1e3","to",NA
"135","s1e3","lewis",NA
"136","s1e3","fork",NA
"137","s1e3","i",NA
"138","s1e3","can",NA
"139","s1e3","recommend","positive"
"140","s1e3","a",NA
"141","s1e3","place",NA
"142","s1e3","for",NA
"143","s1e3","lunch",NA
"144","s1e3","leo",NA
"145","s1e3","called",NA
"146","s1e3","you",NA
"147","s1e3","he",NA
"148","s1e3","asked",NA
"149","s1e3","for",NA
"150","s1e3","the",NA
"151","s1e3","rest",NA
"152","s1e3","of",NA
"153","s1e3","the",NA
"154","s1e3","money",NA
"155","s1e3","she",NA
"156","s1e3","was",NA
"157","s1e3","supposed",NA
"158","s1e3","to",NA
"159","s1e3","hand",NA
"160","s1e3","it",NA
"161","s1e3","over",NA
"162","s1e3","today",NA
"163","s1e3","she",NA
"164","s1e3","checked",NA
"165","s1e3","out",NA
"166","s1e3","on",NA
"167","s1e3","us",NA
"168","s1e3","we're",NA
"169","s1e3","lucky","positive"
"170","s1e3","we're",NA
"171","s1e3","in",NA
"172","s1e3","jail",NA
"173","s1e3","you",NA
"174","s1e3","know",NA
"175","s1e3","what's",NA
"176","s1e3","gonna",NA
"177","s1e3","go",NA
"178","s1e3","down",NA
"179","s1e3","with",NA
"180","s1e3","leo",NA
"181","s1e3","when",NA
"182","s1e3","we",NA
"183","s1e3","get",NA
"184","s1e3","out",NA
"185","s1e3","no",NA
"186","s1e3","no",NA
"187","s1e3","no",NA
"188","s1e3","no",NA
"189","s1e3","no",NA
"190","s1e3","not",NA
"191","s1e3","in",NA
"192","s1e3","my",NA
"193","s1e3","room",NA
"194","s1e3","in",NA
"195","s1e3","here",NA
"196","s1e3","in",NA
"197","s1e3","here",NA
"198","s1e3","jerry",NA
"199","s1e3","back",NA
"200","s1e3","from",NA
"201","s1e3","paris",NA
"202","s1e3","ben",NA
"203","s1e3","what",NA
"204","s1e3","a",NA
"205","s1e3","nightmare","negative"
"206","s1e3","right","positive"
"207","s1e3","there",NA
"208","s1e3","no",NA
"209","s1e3","right","positive"
"210","s1e3","there",NA
"211","s1e3","what",NA
"212","s1e3","is",NA
"213","s1e3","with",NA
"214","s1e3","you",NA
"215","s1e3","guys",NA
"216","s1e3","i've",NA
"217","s1e3","got",NA
"218","s1e3","a",NA
"219","s1e3","sandwich",NA
"220","s1e3","in",NA
"221","s1e3","there",NA
"222","s1e3","i",NA
"223","s1e3","want",NA
"224","s1e3","all",NA
"225","s1e3","those",NA
"226","s1e3","bags",NA
"227","s1e3","open",NA
"228","s1e4","diane",NA
"229","s1e4","7",NA
"230","s1e4","15",NA
"231","s1e4","a.m",NA
"232","s1e4","i'll",NA
"233","s1e4","be",NA
"234","s1e4","heading",NA
"235","s1e4","to",NA
"236","s1e4","the",NA
"237","s1e4","sheriff's",NA
"238","s1e4","after",NA
"239","s1e4","breakfast",NA
"240","s1e4","from",NA
"241","s1e4","there",NA
"242","s1e4","we'll",NA
"243","s1e4","be",NA
"244","s1e4","going",NA
"245","s1e4","on",NA
"246","s1e4","to",NA
"247","s1e4","laura",NA
"248","s1e4","palmer's",NA
"249","s1e4","funeral",NA
"250","s1e4","good","positive"
"251","s1e4","morning",NA
"252","s1e4","colonel",NA
"253","s1e4","cooper",NA
"254","s1e4","just",NA
"255","s1e4","agent",NA
"256","s1e4","audrey",NA
"257","s1e4","special",NA
"258","s1e4","agent",NA
"259","s1e4","special",NA
"260","s1e4","agent",NA
"261","s1e4","would",NA
"262","s1e4","you",NA
"263","s1e4","care",NA
"264","s1e4","to",NA
"265","s1e4","join",NA
"266","s1e4","me",NA
"267","s1e4","for",NA
"268","s1e4","breakfast",NA
"269","s1e4","i'm",NA
"270","s1e4","in",NA
"271","s1e4","a",NA
