"","Episode","word","sentiment"
"1","s1e1","lonesome","negative"
"2","s1e2","great","positive"
"3","s1e2","pretty","positive"
"4","s1e2","well","positive"
"5","s1e2","smell","negative"
"6","s1e2","nice","positive"
"7","s1e2","promised","positive"
"8","s1e2","clean","positive"
"9","s1e2","reasonably","positive"
"10","s1e2","works","positive"
"11","s1e3","recommend","positive"
"12","s1e3","lucky","positive"
"13","s1e3","nightmare","negative"
"14","s1e3","right","positive"
"15","s1e3","right","positive"
"16","s1e4","good","positive"
"17","s1e4","incredible","positive"
"18","s1e5","best","positive"
"19","s1e5","darling","positive"
"20","s1e6","awful","negative"
"21","s1e6","great","positive"
"22","s1e6","pleasant","positive"
"23","s1e6","courteous","positive"
"24","s1e6","loses","negative"
"25","s1e7","work","positive"
"26","s1e7","clear","positive"
"27","s1e7","fine","positive"
"28","s1e7","like","positive"
"29","s1e7","risk","negative"
"30","s1e8","irregular","negative"
"31","s1e8","work","positive"
"32","s1e8","rejected","negative"
"33","s1e8","welcome","positive"
