"","Episode","word","sentiment"
"1",NA,"2-faces","negative"
"2",NA,"abnormal","negative"
"3",NA,"abolish","negative"
"4",NA,"abominable","negative"
"5",NA,"abominably","negative"
"6",NA,"abominate","negative"
"7",NA,"abomination","negative"
"8",NA,"abort","negative"
"9",NA,"aborted","negative"
"10",NA,"aborts","negative"
"11",NA,"abound","positive"
"12",NA,"abounds","positive"
"13",NA,"abrade","negative"
"14",NA,"abrasive","negative"
"15",NA,"abrupt","negative"
"16",NA,"abruptly","negative"
"17",NA,"abscond","negative"
"18",NA,"absence","negative"
"19",NA,"absent-minded","negative"
"20",NA,"absentee","negative"
"21",NA,"absurd","negative"
"22",NA,"absurdity","negative"
"23",NA,"absurdly","negative"
"24",NA,"absurdness","negative"
"25",NA,"abundance","positive"
"26",NA,"abundant","positive"
"27",NA,"abuse","negative"
"28",NA,"abused","negative"
"29",NA,"abuses","negative"
"30",NA,"abusive","negative"
"31",NA,"abysmal","negative"
"32",NA,"abysmally","negative"
"33",NA,"abyss","negative"
"34",NA,"accessable","positive"
"35",NA,"accessible","positive"
"36",NA,"accidental","negative"
"37",NA,"acclaim","positive"
"38",NA,"acclaimed","positive"
"39",NA,"acclamation","positive"
"40",NA,"accolade","positive"
"41",NA,"accolades","positive"
"42",NA,"accommodative","positive"
"43",NA,"accomodative","positive"
"44",NA,"accomplish","positive"
"45",NA,"accomplished","positive"
"46",NA,"accomplishment","positive"
"47",NA,"accomplishments","positive"
"48",NA,"accost","negative"
"49",NA,"accurate","positive"
"50",NA,"accurately","positive"
"51",NA,"accursed","negative"
"52",NA,"accusation","negative"
"53",NA,"accusations","negative"
"54",NA,"accuse","negative"
"55",NA,"accuses","negative"
"56",NA,"accusing","negative"
"57",NA,"accusingly","negative"
"58",NA,"acerbate","negative"
"59",NA,"acerbic","negative"
"60",NA,"acerbically","negative"
"61",NA,"ache","negative"
"62",NA,"ached","negative"
"63",NA,"aches","negative"
"64",NA,"achey","negative"
"65",NA,"achievable","positive"
"66",NA,"achievement","positive"
"67",NA,"achievements","positive"
"68",NA,"achievible","positive"
"69",NA,"aching","negative"
"70",NA,"acrid","negative"
"71",NA,"acridly","negative"
"72",NA,"acridness","negative"
"73",NA,"acrimonious","negative"
"74",NA,"acrimoniously","negative"
"75",NA,"acrimony","negative"
"76",NA,"acumen","positive"
"77",NA,"adamant","negative"
"78",NA,"adamantly","negative"
"79",NA,"adaptable","positive"
"80",NA,"adaptive","positive"
"81",NA,"addict","negative"
"82",NA,"addicted","negative"
"83",NA,"addicting","negative"
"84",NA,"addicts","negative"
"85",NA,"adequate","positive"
"86",NA,"adjustable","positive"
"87",NA,"admirable","positive"
"88",NA,"admirably","positive"
"89",NA,"admiration","positive"
"90",NA,"admire","positive"
"91",NA,"admirer","positive"
"92",NA,"admiring","positive"
"93",NA,"admiringly","positive"
"94",NA,"admonish","negative"
"95",NA,"admonisher","negative"
"96",NA,"admonishingly","negative"
"97",NA,"admonishment","negative"
"98",NA,"admonition","negative"
"99",NA,"adorable","positive"
"100",NA,"adore","positive"
"101",NA,"adored","positive"
"102",NA,"adorer","positive"
"103",NA,"adoring","positive"
"104",NA,"adoringly","positive"
"105",NA,"adroit","positive"
"106",NA,"adroitly","positive"
"107",NA,"adulate","positive"
"108",NA,"adulation","positive"
"109",NA,"adulatory","positive"
"110",NA,"adulterate","negative"
"111",NA,"adulterated","negative"
"112",NA,"adulteration","negative"
"113",NA,"adulterier","negative"
"114",NA,"advanced","positive"
"115",NA,"advantage","positive"
