,word,value,n
1,no,-1,187
2,sorry,-1,30
3,killed,-3,23
4,problem,-2,21
5,bad,-3,20
6,damn,-4,20
7,dead,-3,20
8,excuse,-1,19
9,kill,-3,19
10,leave,-1,19
11,miss,-2,17
12,afraid,-2,16
13,died,-3,16
14,stop,-1,16
15,hell,-4,14
16,trouble,-2,14
17,fire,-2,12
18,funeral,-1,12
19,terrible,-3,12
20,wrong,-2,12
21,death,-2,11
22,lost,-3,11
23,die,-3,10
24,hurt,-2,10
25,worry,-3,10
26,fight,-1,9
27,murder,-2,9
28,accident,-2,8
29,alone,-2,8
30,hard,-1,8
31,pay,-1,8
32,problems,-2,8
33,crime,-3,6
34,cut,-1,6
35,gun,-1,6
36,sick,-2,6
37,crazy,-2,5
38,falling,-1,5
39,forget,-1,5
40,hiding,-1,5
41,poor,-2,5
42,sad,-2,5
43,suspect,-1,5
44,weird,-2,5
45,worse,-3,5
46,bastard,-5,4
47,broken,-1,4
48,difficult,-1,4
49,dumb,-3,4
50,stupid,-2,4
51,arrest,-2,3
52,broke,-1,3
53,criminal,-3,3
54,dirt,-2,3
55,drop,-1,3
56,hate,-3,3
57,hide,-1,3
58,insane,-2,3
59,kills,-3,3
60,mistake,-2,3
61,negative,-2,3
62,rejected,-1,3
63,risk,-2,3
64,screamed,-2,3
65,shoot,-1,3
66,upset,-2,3
67,ashamed,-2,2
68,attack,-1,2
69,attacked,-1,2
70,awful,-3,2
71,badly,-3,2
72,bankrupt,-3,2
73,blah,-2,2
74,bored,-2,2
75,crap,-3,2
76,cry,-1,2
77,crying,-2,2
78,darkness,-1,2
79,debt,-2,2
80,destroy,-3,2
81,destroyed,-3,2
82,disturb,-2,2
83,empty,-1,2
84,escape,-1,2
85,failing,-2,2
86,fools,-2,2
87,forgotten,-1,2
88,grey,-1,2
89,horrible,-3,2
90,hurting,-2,2
91,impatient,-2,2
92,limits,-1,2
93,loose,-3,2
94,missed,-2,2
95,nasty,-3,2
96,nervous,-2,2
97,pain,-2,2
98,perpetrator,-2,2
99,pretend,-1,2
100,prison,-2,2
101,ridiculous,-3,2
102,screams,-2,2
103,shy,-1,2
104,stopped,-1,2
105,strange,-1,2
106,struck,-1,2
107,stuck,-2,2
108,swear,-2,2
109,threat,-2,2
110,tired,-2,2
111,urgent,-1,2
112,victim,-3,2
113,abandoned,-2,1
114,aching,-2,1
115,admit,-1,1
116,affected,-1,1
117,aggravated,-2,1
118,apologize,-1,1
119,arrested,-3,1
120,avoid,-1,1
121,betrayed,-3,1
122,bitch,-5,1
123,blame,-2,1
124,blind,-1,1
125,block,-1,1
126,blocked,-1,1
127,blocks,-1,1
128,charged,-3,1
129,charges,-2,1
130,collides,-1,1
131,coward,-2,1
132,cruel,-3,1
133,crush,-1,1
134,cutting,-1,1
135,damage,-3,1
136,deceitful,-3,1
137,depressed,-2,1
138,desperate,-3,1
139,disappoint,-2,1
140,doubt,-1,1
141,drunk,-2,1
142,dubious,-2,1
143,dull,-2,1
144,emergency,-2,1
145,evil,-3,1
146,exposed,-1,1
147,failure,-2,1
148,fear,-2,1
149,felonies,-3,1
150,fired,-2,1
151,fool,-2,1
152,fraud,-4,1
153,funerals,-1,1
154,grief,-2,1
155,harsh,-2,1
156,hates,-3,1
157,hurts,-2,1
158,illegal,-3,1
159,impose,-1,1
160,injury,-2,1
161,insults,-2,1
162,irritating,-3,1
163,jealous,-2,1
164,killing,-3,1
165,lack,-2,1
166,liar,-3,1
167,lonesome,-2,1
168,loss,-3,1
169,mad,-3,1
170,madly,-3,1
171,madness,-3,1
172,mess,-2,1
173,messed,-2,1
174,mischief,-1,1
175,missing,-2,1
176,nonsense,-2,1
177,offend,-2,1
178,offends,-2,1
179,perpetrators,-2,1
180,poised,-2,1
181,pressure,-1,1
182,prisoner,-2,1
183,questioning,-1,1
184,rebellion,-2,1
185,restless,-2,1
186,retained,-1,1
187,risks,-2,1
188,ruin,-2,1
189,ruins,-2,1
190,saddened,-2,1
191,scare,-2,1
192,scared,-2,1
193,scream,-2,1
194,screaming,-2,1
195,severe,-2,1
196,shock,-2,1
197,silly,-1,1
198,slut,-5,1
199,stampede,-2,1
200,starved,-2,1
201,stopping,-1,1
202,suffer,-2,1
203,suffering,-2,1
204,torn,-2,1
205,tortured,-4,1
206,tragedy,-2,1
207,troubled,-2,1
208,troubles,-2,1
209,ugly,-3,1
210,unhappy,-2,1
211,vicious,-2,1
212,war,-2,1
213,warn,-2,1
214,wasted,-2,1
215,worried,-3,1
216,worrying,-3,1
217,wreck,-2,1
