"","word","value","n"
"1","no",-1,407
"2","sorry",-1,95
"3","miss",-2,60
"4","dead",-3,55
"5","leave",-1,48
"6","kill",-3,47
"7","killed",-3,45
"8","fire",-2,41
"9","excuse",-1,40
"10","hard",-1,40
"11","wrong",-2,39
"12","stop",-1,38
"13","died",-3,37
"14","dick",-4,36
"15","hell",-4,35
"16","bad",-3,32
"17","afraid",-2,30
"18","hurt",-2,30
"19","die",-3,29
"20","damn",-4,28
"21","alone",-2,24
"22","gun",-1,24
"23","death",-2,23
"24","fear",-2,22
"25","poor",-2,22
"26","problem",-2,22
"27","murder",-2,21
"28","strange",-1,21
"29","worry",-3,21
"30","mad",-3,19
"31","lost",-3,18
"32","trouble",-2,18
"33","pay",-1,16
"34","terrible",-3,16
"35","war",-2,16
"36","weird",-2,13
"37","arrest",-2,12
"38","forget",-1,12
"39","crime",-3,11
"40","missing",-2,11
"41","prison",-2,11
"42","bastard",-5,10
"43","difficult",-1,10
"44","sick",-2,10
"45","bomb",-1,9
"46","crazy",-2,9
"47","doubt",-1,9
"48","evil",-3,9
"49","pain",-2,9
"50","worried",-3,9
"51","worse",-3,9
"52","attack",-1,8
"53","cut",-1,8
"54","fight",-1,8
"55","guilty",-3,8
"56","nervous",-2,8
"57","admit",-1,7
"58","darkness",-1,7
"59","forgotten",-1,7
"60","grave",-2,7
"61","hate",-3,7
"62","insane",-2,7
"63","panic",-3,7
"64","worst",-3,7
"65","charged",-3,6
"66","cry",-1,6
"67","drop",-1,6
"68","killing",-3,6
"69","odd",-2,6
"70","stupid",-2,6
"71","suicide",-2,6
"72","angry",-3,5
"73","arrested",-3,5
"74","badly",-3,5
"75","broke",-1,5
"76","broken",-1,5
"77","critic",-2,5
"78","damage",-3,5
"79","disappeared",-1,5
"80","disappointed",-2,5
"81","loose",-3,5
"82","loss",-3,5
"83","missed",-2,5
"84","mistake",-2,5
"85","problems",-2,5
"86","regret",-2,5
"87","stolen",-2,5
"88","stuck",-2,5
"89","victim",-3,5
"90","waste",-1,5
"91","apology",-1,4
"92","attacked",-1,4
"93","awful",-3,4
"94","bitch",-5,4
"95","bother",-2,4
"96","charges",-2,4
"97","danger",-2,4
"98","dirt",-2,4
"99","drag",-1,4
"100","dreadful",-3,4
"101","emergency",-2,4
"102","fool",-2,4
"103","grey",-1,4
"104","hated",-3,4
"105","hurts",-2,4
"106","lobby",-2,4
"107","murderer",-2,4
"108","pretend",-1,4
"109","scary",-2,4
"110","shoot",-1,4
"111","silly",-1,4
"112","struck",-1,4
"113","suspected",-1,4
"114","terribly",-3,4
"115","tired",-2,4
"116","upset",-2,4
"117","weak",-2,4
"118","accident",-2,3
"119","accused",-2,3
"120","alert",-1,3
"121","ashamed",-2,3
"122","battle",-1,3
"123","blame",-2,3
"124","block",-1,3
"125","bloody",-3,3
"126","bore",-2,3
"127","criminal",-3,3
"128","desperate",-3,3
"129","dirty",-2,3
"130","disappoint",-2,3
"131","empty",-1,3
"132","enemy",-2,3
"133","escape",-1,3
"134","failed",-2,3
"135","failing",-2,3
"136","falling",-1,3
"137","fools",-2,3
"138","frightened",-2,3
"139","funeral",-1,3
"140","grief",-2,3
"141","harm",-2,3
"142","hide",-1,3
"143","horrible",-3,3
"144","imperfect",-2,3
"145","insanity",-2,3
"146","interrupting",-2,3
"147","jealous",-2,3
"148","mess",-2,3
"149","miserable",-3,3
"150","mistakes",-2,3
"151","nonsense",-2,3
"152","protest",-2,3
"153","refusing",-2,3
"154","sad",-2,3
"155","shame",-2,3
"156","shy",-1,3
"157","stab",-2,3
"158","stopped",-1,3
"159","stops",-1,3
"160","suspect",-1,3
"161","swear",-2,3
"162","tragedy",-2,3
"163","troubles",-2,3
"164","urgent",-1,3
"165","vicious",-2,3
"166","warned",-2,3
"167","alarm",-2,2
"168","anger",-3,2
"169","apologizing",-1,2
"170","axe",-1,2
"171","bankrupt",-3,2
"172","betrayed",-3,2
"173","blames",-2,2
"174","blaming",-2,2
"175","blind",-1,2
"176","cheat",-3,2
"177","confused",-2,2
"178","confusing",-2,2
"179","crap",-3,2
"180","cried",-2,2
"181","defeated",-2,2
"182","defenseless",-2,2
"183","destroy",-3,2
"184","disoriented",-2,2
"185","disturbing",-2,2
"186","drunk",-2,2
"187","escapes",-1,2
"188","fail",-2,2
"189","fake",-3,2
"190","felonies",-3,2
"191","fired",-2,2
"192","foolish",-2,2
"193","frustrate",-2,2
"194","helpless",-2,2
"195","hiding",-1,2
"196","ill",-2,2
"197","illegal",-3,2
"198","illness",-2,2
"199","incapacitated",-2,2
"200","injured",-2,2
"201","lack",-2,2
"202","losing",-3,2
"203","negative",-2,2
"204","pressure",-1,2
"205","prisoner",-2,2
"206","questioned",-1,2
"207","questioning",-1,2
"208","revenge",-2,2
"209","ruined",-2,2
"210","screams",-2,2
"211","screwed",-2,2
"212","selfish",-3,2
"213","slam",-2,2
"214","stabbed",-2,2
"215","steal",-2,2
"216","strangled",-2,2
"217","suffering",-2,2
"218","suspects",-1,2
"219","suspicious",-2,2
"220","terrified",-3,2
"221","threat",-2,2
"222","threatened",-2,2
"223","torn",-2,2
"224","trap",-1,2
"225","trapped",-2,2
"226","trembling",-2,2
"227","unacceptable",-2,2
"228","unbelievable",-1,2
"229","vague",-2,2
"230","violated",-2,2
"231","violence",-3,2
"232","violent",-3,2
"233","vulnerable",-2,2
"234","warning",-3,2
"235","weep",-2,2
"236","whore",-4,2
"237","worn",-1,2
"238","abandoned",-2,1
"239","abuse",-3,1
"240","aggression",-2,1
"241","aggressive",-2,1
"242","agonised",-3,1
"243","alas",-1,1
"244","anxious",-2,1
"245","arrests",-2,1
"246","awaits",-1,1
"247","betray",-3,1
"248","betrayal",-3,1
"249","bitter",-2,1
"250","blamed",-2,1
"251","bothered",-2,1
"252","bully",-2,1
"253","cheater",-3,1
"254","collapsed",-2,1
"255","collapsing",-2,1
"256","conflicts",-2,1
"257","conspiracy",-3,1
"258","coward",-2,1
"259","cowardly",-2,1
"260","crash",-2,1
"261","criminals",-3,1
"262","crisis",-3,1
"263","cruel",-3,1
"264","cruelty",-3,1
"265","crushed",-2,1
"266","crying",-2,1
"267","curse",-1,1
"268","cuts",-1,1
"269","cynicism",-2,1
"270","damned",-4,1
"271","darkest",-2,1
"272","debt",-2,1
"273","deception",-3,1
"274","delayed",-1,1
"275","demand",-1,1
"276","demanded",-1,1
"277","denied",-2,1
"278","deny",-2,1
"279","depressed",-2,1
"280","despair",-3,1
"281","desperately",-3,1
"282","destroying",-3,1
"283","destructive",-3,1
"284","dirtiest",-2,1
"285","disappear",-1,1
"286","disaster",-2,1
"287","disastrous",-3,1
"288","disguise",-1,1
"289","disguised",-1,1
"290","disgusting",-3,1
"291","disputing",-2,1
"292","disqualified",-2,1
"293","disregard",-2,1
"294","disturb",-2,1
"295","disturbed",-2,1
"296","dizzy",-1,1
"297","doom",-2,1
"298","doubtful",-1,1
"299","doubts",-1,1
"300","dragged",-1,1
"301","drowned",-2,1
"302","dull",-2,1
"303","dumb",-3,1
"304","embarrassed",-2,1
"305","envious",-2,1
"306","envy",-1,1
"307","exploit",-2,1
"308","expose",-1,1
"309","exposed",-1,1
"310","failure",-2,1
"311","fallen",-2,1
"312","fatiguing",-2,1
"313","fearful",-2,1
"314","forced",-1,1
"315","frightening",-3,1
"316","frustrating",-2,1
"317","gloom",-1,1
"318","gray",-1,1
"319","hapless",-2,1
"320","haunt",-1,1
"321","haunted",-2,1
"322","heartbreaking",-3,1
"323","hesitate",-2,1
"324","homesick",-2,1
"325","hopeless",-2,1
"326","ignore",-1,1
"327","inconvenience",-2,1
"328","indifference",-2,1
"329","interrupt",-2,1
"330","isolated",-1,1
"331","jumpy",-1,1
"332","lied",-2,1
"333","lunatic",-3,1
"334","madness",-3,1
"335","mandatory",-1,1
"336","menace",-2,1
"337","misinformed",-2,1
"338","moping",-1,1
"339","moron",-3,1
"340","mourn",-2,1
"341","murdering",-3,1
"342","nasty",-3,1
"343","outrage",-3,1
"344","pathetic",-2,1
"345","peril",-2,1
"346","pity",-2,1
"347","possessive",-2,1
"348","prevent",-1,1
"349","prosecution",-1,1
"350","punish",-2,1
"351","quaking",-2,1
"352","rape",-4,1
"353","rebellion",-2,1
"354","reject",-1,1
"355","restless",-2,1
"356","ridiculous",-3,1
"357","rigged",-1,1
"358","riot",-2,1
"359","risk",-2,1
"360","ruin",-2,1
"361","sadly",-2,1
"362","scared",-2,1
"363","scream",-2,1
"364","screaming",-2,1
"365","shock",-2,1
"366","sigh",-2,1
"367","skeptic",-2,1
"368","sluggish",-2,1
"369","sore",-1,1
"370","starved",-2,1
"371","strangely",-1,1
"372","struggle",-2,1
"373","stubborn",-2,1
"374","stunned",-2,1
"375","suck",-3,1
"376","suffer",-2,1
"377","suspended",-1,1
"378","tears",-2,1
"379","tense",-2,1
"380","tension",-1,1
"381","threatening",-2,1
"382","tortured",-4,1
"383","tragic",-2,1
"384","trickery",-2,1
"385","unappreciated",-2,1
"386","uncomfortable",-2,1
"387","uneasy",-2,1
"388","unfair",-2,1
"389","violate",-2,1
"390","vulnerability",-2,1
"391","weary",-2,1
"392","wicked",-2,1
