"","word","value","n"
"1","like",2,308
"2","good",3,226
"3","want",1,178
"4","yes",1,178
"5","yeah",1,175
"6","please",1,120
"7","help",2,106
"8","love",3,105
"9","thank",2,105
"10","god",1,83
"11","great",3,80
"12","better",2,73
"13","thanks",2,60
"14","kind",2,54
"15","fine",2,49
"16","nice",3,46
"17","care",2,45
"18","happy",3,41
"19","big",1,40
"20","best",3,39
"21","hope",2,36
"22","beautiful",3,34
"23","pretty",1,34
"24","dream",1,33
"25","dear",2,31
"26","kiss",2,28
"27","feeling",1,24
"28","promise",1,24
"29","easy",1,23
"30","matter",1,23
"31","welcome",2,23
"32","save",2,22
"33","top",2,20
"34","chance",2,19
"35","important",2,18
"36","perfect",3,18
"37","clear",1,17
"38","lucky",3,17
"39","wish",1,17
"40","alive",1,16
"41","safe",1,16
"42","sweet",2,16
"43","loved",3,15
"44","luck",3,14
"45","certain",1,13
"46","glad",3,13
"47","heaven",2,13
"48","true",2,13
"49","appreciate",2,12
"50","cool",1,12
"51","honest",2,12
"52","careful",2,11
"53","dreams",1,11
"54","helping",2,11
"55","pleasure",3,11
"56","trust",1,11
"57","forgive",1,10
"58","funny",4,10
"59","vision",1,10
"60","warm",1,10
"61","interested",2,9
"62","interesting",2,9
"63","join",1,9
"64","justice",2,9
"65","opportunity",2,9
"66","peace",2,9
"67","strong",2,9
"68","win",4,9
"69","clean",2,8
"70","favor",2,8
"71","fun",4,8
"72","lovely",3,8
"73","perfectly",3,8
"74","responsible",2,8
"75","straight",1,8
"76","fair",2,7
"77","gift",2,7
"78","hoping",2,7
"79","promised",1,7
"80","share",1,7
"81","smiling",2,7
"82","spirit",1,7
"83","ability",2,6
"84","advantage",2,6
"85","bright",1,6
"86","curious",1,6
"87","fit",1,6
"88","free",1,6
"89","goodness",3,6
"90","honour",2,6
"91","joke",2,6
"92","protect",1,6
"93","wonderful",4,6
"94","worth",2,6
"95","benefit",2,5
"96","carefully",2,5
"97","clearly",1,5
"98","cute",2,5
"99","enjoy",2,5
"100","exciting",3,5
"101","fresh",1,5
"102","invite",1,5
"103","proud",2,5
"104","reach",1,5
"105","smile",2,5
"106","admire",3,4
"107","amazing",4,4
"108","attracted",1,4
"109","brilliant",4,4
"110","calm",2,4
"111","celebrate",3,4
"112","cleared",1,4
"113","confidence",2,4
"114","eager",2,4
"115","excellent",3,4
"116","gain",2,4
"117","interest",1,4
"118","joy",3,4
"119","laugh",1,4
"120","liked",2,4
"121","likes",2,4
"122","miracle",4,4
"123","powerful",2,4
"124","prepared",1,4
"125","recommend",2,4
"126","terrific",4,4
"127","won",3,4
"128","accept",1,3
"129","agree",1,3
"130","amusement",3,3
"131","bless",2,3
"132","brave",2,3
"133","capable",1,3
"134","charming",3,3
"135","cleaner",2,3
"136","courage",2,3
"137","desire",1,3
"138","excited",3,3
"139","friendly",2,3
"140","grand",3,3
"141","grant",1,3
"142","granted",1,3
"143","greatest",3,3
"144","growing",1,3
"145","hail",2,3
"146","happiness",3,3
"147","healthy",2,3
"148","helps",2,3
"149","laughing",1,3
"150","mercy",2,3
"151","pleased",3,3
"152","reached",1,3
"153","reaching",1,3
"154","rich",2,3
"155","safety",1,3
"156","saved",2,3
"157","smart",1,3
"158","strength",2,3
"159","success",2,3
"160","trusted",2,3
"161","useful",2,3
"162","winner",4,3
"163","wins",4,3
"164","active",1,2
"165","adequate",1,2
"166","affection",3,2
"167","agreement",1,2
"168","allow",1,2
"169","amazed",2,2
"170","applaud",2,2
"171","appreciated",2,2
"172","beloved",3,2
"173","cares",2,2
"174","celebrating",3,2
"175","clever",2,2
"176","comfort",2,2
"177","comfortable",2,2
"178","committed",1,2
"179","confident",2,2
"180","congratulate",2,2
"181","congratulations",2,2
"182","creative",2,2
"183","dedicated",2,2
"184","determined",2,2
"185","embrace",1,2
"186","faith",1,2
"187","fascinating",3,2
"188","favorite",2,2
"189","gained",2,2
"190","generous",2,2
