"","word","sentiment","n"
"1","like","positive",144
"2","well","positive",111
"3","right","positive",96
"4","good","positive",76
"5","love","positive",40
"6","thank","positive",38
"7","sorry","negative",30
"8","great","positive",27
"9","work","positive",26
"10","best","positive",24
"11","killed","negative",23
"12","better","positive",22
"13","problem","negative",21
"14","bad","negative",20
"15","damn","negative",20
"16","dead","negative",20
"17","enough","positive",19
"18","excuse","negative",19
"19","fine","positive",19
"20","kill","negative",19
"21","nice","positive",18
"22","miss","negative",17
"23","afraid","negative",16
"24","died","negative",16
"25","ready","positive",16
"26","pretty","positive",15
"27","beautiful","positive",14
"28","clear","positive",14
"29","hell","negative",14
"30","trouble","negative",14
"31","easy","positive",12
"32","terrible","negative",12
"33","wrong","negative",12
"34","death","negative",11
"35","incredible","positive",11
"36","lost","negative",11
"37","die","negative",10
"38","glad","positive",10
"39","hurt","negative",10
"40","lucky","positive",10
"41","sweetheart","positive",10
"42","worry","negative",10
"43","clean","positive",9
"44","killer","negative",9
"45","murder","negative",9
"46","pleasure","positive",9
"47","break","negative",8
"48","hard","negative",8
"49","hot","positive",8
"50","loved","positive",8
"51","problems","negative",8
"52","smoke","negative",8
"53","top","positive",8
"54","darling","positive",7
"55","fair","positive",7
"56","hang","negative",7
"57","happy","positive",7
"58","sweet","positive",7
"59","works","positive",7
"60","crime","negative",6
"61","patient","positive",6
"62","quiet","positive",6
"63","safe","positive",6
"64","sick","negative",6
"65","correct","positive",5
"66","crazy","negative",5
"67","falling","negative",5
"68","fresh","positive",5
"69","important","positive",5
"70","luck","positive",5
"71","nightmare","negative",5
"72","perfect","positive",5
"73","poor","negative",5
"74","recommend","positive",5
"75","sad","negative",5
"76","suspect","negative",5
"77","weird","negative",5
"78","welcome","positive",5
"79","worse","negative",5
"80","bastard","negative",4
"81","broken","negative",4
"82","difficult","negative",4
"83","dumb","negative",4
"84","enjoy","positive",4
"85","erase","negative",4
"86","excited","positive",4
"87","falls","negative",4
"88","helped","positive",4
"89","holy","positive",4
"90","lead","positive",4
"91","likes","positive",4
"92","lying","negative",4
"93","mystery","negative",4
"94","promise","positive",4
"95","punch","negative",4
"96","silent","positive",4
"97","smell","negative",4
