"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The world is too soft now @HankAzaria thank you for voicing a brown character so we were actually represented on ma… https://t.co/m5rRtnwuPq",FALSE,0,NA,2020-01-18 14:06:21,TRUE,NA,"1218535098175254528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ice3u3",0,FALSE,FALSE,NA,NA
"2","RT @SamuelTimms3: Every minuet of everyday, literally.

#AVFC #Simpsons #UTV https://t.co/IBntxzVdyG",FALSE,0,NA,2020-01-18 14:05:25,FALSE,NA,"1218534862241529856",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MissLionHeart",8,TRUE,FALSE,NA,NA
"3","RT @BADTHINGSONFIFA: One of the best moments in the  #Simpsons https://t.co/ND0j7tU8yq",FALSE,0,NA,2020-01-18 14:05:18,FALSE,NA,"1218534835767083008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MissLionHeart",8,TRUE,FALSE,NA,NA
"4","RT @funky_seema: The #Simpsons ended as soon as these characters stopped being in it. RIP Phil Hartman <U+0001F622> https://t.co/HEPFYqNO2A",FALSE,0,NA,2020-01-18 14:05:06,FALSE,NA,"1218534783397044225",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MissLionHeart",10,TRUE,FALSE,NA,NA
"5","lets not forget maggie was a baby for 30 years #Simpsons",FALSE,0,NA,2020-01-18 14:04:56,FALSE,NA,"1218534741399560192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","funniestkid1",0,FALSE,FALSE,NA,NA
"6","It's like when you have an ill cat that needs to be put down: You know it's for the best but still you're gonna rea… https://t.co/laVWVZ915b",FALSE,0,NA,2020-01-18 14:04:49,TRUE,NA,"1218534711464734720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MCCngtn",0,FALSE,FALSE,NA,NA
"7","Lehrerin: Hach das Partnersystem, narrensicher.
#Simpsons classics",FALSE,0,NA,2020-01-18 14:04:39,FALSE,NA,"1218534672705126400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","falkatw",0,FALSE,FALSE,NA,NA
"8","Many people talking like the issue is the stereotyping of a character and missing the actual issue which is a white… https://t.co/u3uwNXlUW2",FALSE,0,NA,2020-01-18 14:04:12,TRUE,NA,"1218534556917227521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","teameat6",0,FALSE,FALSE,NA,NA
"9","RT @tdevo93: I think it may be time the #Simpsons ends, finish it with a movie that was written by Matt Groening to bring the actual soul o…",FALSE,0,NA,2020-01-18 14:02:40,FALSE,NA,"1218534170986717184",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jettz",1,TRUE,FALSE,NA,NA
"10","EVERY #Simpsons character is a caricature of themselves. It’s a show of stereotyping characters based on their race… https://t.co/MeJjqb7w30",FALSE,1,NA,2020-01-18 14:02:18,TRUE,NA,"1218534080985341952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsADogsLife92",0,FALSE,FALSE,NA,NA
"11","RT @Lee280914: It shows how much people's view on situations have changed over the past 10/20 years when only NOW people are offended that…",FALSE,0,NA,2020-01-18 14:01:48,FALSE,NA,"1218533955374407688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jettz",11,TRUE,FALSE,NA,NA
"12","RT @DundeeSeamus: Let’s give a round of applause to those who want to be offended by everything on this small victory. I hope this makes yo…",FALSE,0,NA,2020-01-18 14:01:40,FALSE,NA,"1218533918628110337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jettz",13,TRUE,FALSE,NA,NA
"13","Biggest pile of nonsense whoever complained about Apu who is pretty much my name sake should hang their heads in sh… https://t.co/wF16p1pbNb",FALSE,0,NA,2020-01-18 14:01:12,TRUE,NA,"1218533803381137413",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ApurvaModessa",0,FALSE,FALSE,NA,NA
"14","D'oh! #Simpsons https://t.co/6Pcu1F5E63",FALSE,0,NA,2020-01-18 14:00:23,FALSE,NA,"1218533598900424704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","der_hopper",0,FALSE,FALSE,NA,NA
"15","I think it may be time the #Simpsons ends, finish it with a movie that was written by Matt Groening to bring the ac… https://t.co/SSyM9SCIqF",FALSE,4,NA,2020-01-18 14:00:15,TRUE,NA,"1218533563236278272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tdevo93",1,FALSE,FALSE,NA,NA
"16","Homer: Hey, Burns! Eat my shorts! Burns: Who the Sam Hill was that? One Fish, Two Fish, Blowfish, Blue Fish #Simpsons",FALSE,0,NA,2020-01-18 14:00:01,FALSE,NA,"1218533506533535744",NA,"<a href=""http://www.floodgap.com/software/ttytter/"" rel=""nofollow"">TTYtter (simpsons_quote)</a>","simpsons_quote",0,FALSE,FALSE,NA,NA
"17","Why is  #Simpsons trending?",FALSE,0,NA,2020-01-18 13:59:28,FALSE,NA,"1218533365424500742",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bambinobeau09",0,FALSE,FALSE,NA,NA
"18","What is the point in #Simpsons anymore. One of the best TV series of all time, but lazy, uninspired writing since s… https://t.co/k4bCi9gXDl",FALSE,0,NA,2020-01-18 13:58:49,TRUE,NA,"1218533203335663617",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gallagherlad95",0,FALSE,FALSE,NA,NA
"19","So, Hank Azaria won't voice Apu in The #Simpsons anymore because of accusations of racism.

It's a sterotype. The show is FILLED with them.",FALSE,4,NA,2020-01-18 13:57:52,FALSE,NA,"1218532963736072192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VikingSizeGamer",0,FALSE,FALSE,NA,NA
"20","People need to get their panties out of a bunch. Apu is a cartoon character and a beloved one at that. Every charac… https://t.co/DcrnCfK6Dz",FALSE,0,NA,2020-01-18 13:57:49,TRUE,NA,"1218532951769735170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustAGirlHere23",0,FALSE,FALSE,NA,NA
