uis,text,favoriteCount,created,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
1,"RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss�",0,30/10/2019 16:27,1.18958E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,3,TRUE,FALSE
2,RT @BlueRoseMag1: You can subscribe to the Year 3 still and get Issues 9-13. 13 is the 30th tribute issue and ships next year. We ship 9-12�,0,30/10/2019 16:23,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobEdKing,1,TRUE,FALSE
3,"RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss�",0,30/10/2019 16:23,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobEdKing,3,TRUE,FALSE
4,"#RayMonroe sent me a note, a patch and some coordinates. What a #fucker !
Grazie @BigLeeMarvinFan #GeorgeGriffith� https://t.co/02CP9EZy08",0,30/10/2019 16:21,1.18958E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Piero148,0,FALSE,FALSE
5,RT @DevaneLavery: Ian Buchanan #GH #TwinPeaks #boldandthebeautiful #BB #DOOL #AMC #allmychildren #Ontheair #LOTL #Charmed #mermaid #AMermai�,0,30/10/2019 16:21,1.18958E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DrJimmyStar,4,TRUE,FALSE
6,"RT @RinaldoZoontjes: Good Morning, Good People!!! Happy Twin Peaks Wednesday Everyone!!! Have a Great Day!!! <U+0001F44D><U+0001F3FB> #TwinPeaks #ShellyJohnson #�",0,30/10/2019 16:17,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",amarikidd,9,TRUE,FALSE
7,"RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss�",0,30/10/2019 16:16,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",PaulDBrazill,3,TRUE,FALSE
8,"I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and g� https://t.co/J3Cc3t0ccZ",3,30/10/2019 16:14,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BlueRoseMag1,3,FALSE,FALSE
9,RT @mintplusplus: Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/�,0,30/10/2019 16:12,1.18958E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,2,TRUE,FALSE
10,RT @mintplusplus: Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/�,0,30/10/2019 16:12,1.18958E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vinylqueue,2,TRUE,FALSE
11,Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/7i1h5aBVIO,3,30/10/2019 16:11,1.18958E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",mintplusplus,2,FALSE,FALSE
12,You can subscribe to the Year 3 still and get Issues 9-13. 13 is the 30th tribute issue and ships next year. We shi� https://t.co/eKTvoa3xL2,4,30/10/2019 16:06,1.18957E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BlueRoseMag1,1,FALSE,FALSE
13,"RT @talkinbackward: Check out this damn fine #TwinPeaks enamel pin set from @mintplusplus!
14,RT @Diadia72: Morning coffee <U+0001F5A4><U+2615><U+FE0F><U+0001F5A4>  Wish all you wonderful #TwinPeaks a damn fine Wednesday among the trees<U+0001F332><U+0001F332><U+0001F332>the art of balancing life is a�,0,30/10/2019 16:03,1.18957E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ArgenOm,7,TRUE,FALSE
15,"Lara Flynn Boyle en el rodaje del �ltimo episodio de Twin Peaks en 1991.
Lara Flynn Boyle shooting the last episode� https://t.co/AVKGKU0B3g",5,30/10/2019 16:01,1.18957E+18,NA,"<a href=""https://www.later.com"" rel=""nofollow"">LaterMedia</a>",universoLynch,1,FALSE,FALSE
16,A photo of Dale Cooper from Twin Peaks every hour. #twinpeaks https://t.co/qgWEGpBV7j,2,30/10/2019 16:00,1.18957E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",DaleCooperHour,0,FALSE,FALSE
17,RT @SHO_PR: Massive congrats to our friend and beloved #TwinPeaks maestro @DAVID_LYNCH! https://t.co/hDGsnXmLgy,0,30/10/2019 15:59,1.18957E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AlfredoDiaz777,19,TRUE,FALSE
18,RT @galpalcentral: couples costume idea #twinpeaks https://t.co/qRW6GWfVR1,0,30/10/2019 15:57,1.18957E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,1,TRUE,FALSE
19,RT @joudygarland: �There�s No Place Like Home� // had to make something spooky for Halloween <U+0001F383><U+0001F480><U+0001F47B><U+0001F460> #werenotgonnatalkaboutjudy #twinpeaks #ju�,0,30/10/2019 15:49,1.18957E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobEdKing,13,TRUE,FALSE
20,@fuenfzigmvier Welches #TwinPeaks Buch soll ich nochmal lesen?,0,30/10/2019 15:48,1.18957E+18,9.67758E+17,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CouchMaster,0,FALSE,FALSE
21,couples costume idea #twinpeaks https://t.co/qRW6GWfVR1,2,30/10/2019 15:41,1.18957E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",galpalcentral,1,FALSE,FALSE
22,RT @TheAVClub: This #TwinPeaks explainer is good�it's also 4 1/2 hours long https://t.co/21SFHaPjOf https://t.co/wi6czhAOFU,0,30/10/2019 15:37,1.18957E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",andymeloy,9,TRUE,FALSE
23,"@RaynyCloud @CHMcConnell I like the #TwinPeaks vibe, elliptical included!",0,30/10/2019 15:32,1.18957E+18,35624992,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",robbie_mtg,0,FALSE,FALSE
24,"RT @TwinPeaksArchve: Officially released today, The 2019 #TwinPeaks Archives Trading Cards from #Rittenhouse include signed cards from Kyle�",0,30/10/2019 15:31,1.18957E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sdbrady05,2,TRUE,FALSE
25,"RT @TwinPeaksArchve: Officially released today, The 2019 #TwinPeaks Archives Trading Cards from #Rittenhouse include signed cards from Kyle�",0,30/10/2019 15:31,1.18957E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",blowoutcards,2,TRUE,FALSE
26,"RT @WestofLynchBook: 2 Days left!
Abstracts.
""The American West of David Lynch�s Filmography and in Twin Peaks: Essays on Regional Identity�",0,30/10/2019 15:27,1.18956E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,3,TRUE,FALSE
27,"RT @WestofLynchBook: 2 Days left!
Abstracts.
""The American West of David Lynch�s Filmography and in Twin Peaks: Essays on Regional Identity�",0,30/10/2019 15:24,1.18956E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DevinRoss1939,3,TRUE,FALSE
28,"RT @WestofLynchBook: 2 Days left!
Abstracts.
""The American West of David Lynch�s Filmography and in Twin Peaks: Essays on Regional Identity�",0,30/10/2019 15:17,1.18956E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobEdKing,3,TRUE,FALSE
29,"2 Days left!
Abstracts.
""The American West of David Lynch�s Filmography and in Twin Peaks: Essays on Regional Ident� https://t.co/YLueY4yAgt",1,30/10/2019 15:13,1.18956E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RobEdKing,0,FALSE,FALSE
30,"2 Days left!
Abstracts.
""The American West of David Lynch�s Filmography and in Twin Peaks: Essays on Regional Ident� https://t.co/NeAkTVU3u1",3,30/10/2019 15:13,1.18956E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",WestofLynchBook,3,FALSE,FALSE
31,RT @eliredman: #TwinPeaks The owls are definitely not what they seem https://t.co/yWcTsbLaJ5,0,30/10/2019 15:12,1.18956E+18,NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>",TwinPeaksBotNew,1,TRUE,FALSE
32,#TwinPeaks @ThatsOurWaldo @TwinPeaksArchve https://t.co/4E9fR51i3V https://t.co/roRnCcDuRA,0,30/10/2019 15:12,1.18956E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TruckstopTwank,0,FALSE,FALSE
33,RT @Alice_Tye1: It wouldn't be Halloween without a tribute to Twin Peaks - I love the show so much we had a Twin Peaks themed Halloween par�,0,30/10/2019 15:06,1.18956E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",chrispyging,1,TRUE,FALSE
34,#TwinPeaks The owls are definitely not what they seem https://t.co/yWcTsbLaJ5,4,30/10/2019 15:05,1.18956E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",eliredman,1,FALSE,FALSE
35,"RT @exitoinabr: O diretor de #TwinPeaks, #DavidLynch, recebeu seu primeiro Oscar ap�s ser indicado tr�s vezes:

https://t.co/1ArBtb8wb1",0,30/10/2019 15:05,1.18956E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FuscaMafioso,1,TRUE,FALSE
36,It wouldn't be Halloween without a tribute to Twin Peaks - I love the show so much we had a Twin Peaks themed Hallo� https://t.co/voxpr6ftls,2,30/10/2019 15:04,1.18956E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Alice_Tye1,1,FALSE,FALSE
