"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss…",FALSE,0,NA,2019-10-30 16:27:47,FALSE,NA,"1189579664290992130",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>","TwinPeaksBotNew",3,TRUE,FALSE,NA,NA
"2","RT @BlueRoseMag1: You can subscribe to the Year 3 still and get Issues 9-13. 13 is the 30th tribute issue and ships next year. We ship 9-12…",FALSE,0,NA,2019-10-30 16:23:15,FALSE,NA,"1189578522420842496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RobEdKing",1,TRUE,FALSE,NA,NA
"3","RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss…",FALSE,0,NA,2019-10-30 16:23:09,FALSE,NA,"1189578496315576322",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RobEdKing",3,TRUE,FALSE,NA,NA
"4","#RayMonroe sent me a note, a patch and some coordinates. What a #fucker !
Grazie @BigLeeMarvinFan #GeorgeGriffith… https://t.co/02CP9EZy08",FALSE,0,NA,2019-10-30 16:21:24,TRUE,NA,"1189578056085725184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Piero148",0,FALSE,FALSE,NA,NA
"5","RT @DevaneLavery: Ian Buchanan #GH #TwinPeaks #boldandthebeautiful #BB #DOOL #AMC #allmychildren #Ontheair #LOTL #Charmed #mermaid #AMermai…",FALSE,0,NA,2019-10-30 16:21:20,FALSE,NA,"1189578040348536838",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrJimmyStar",4,TRUE,FALSE,NA,NA
"6","RT @RinaldoZoontjes: Good Morning, Good People!!! Happy Twin Peaks Wednesday Everyone!!! Have a Great Day!!! <U+0001F44D><U+0001F3FB> #TwinPeaks #ShellyJohnson #…",FALSE,0,NA,2019-10-30 16:17:46,FALSE,NA,"1189577142549565441",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","amarikidd",9,TRUE,FALSE,NA,NA
"7","RT @BlueRoseMag1: I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and get Iss…",FALSE,0,NA,2019-10-30 16:16:07,FALSE,NA,"1189576726923403264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PaulDBrazill",3,TRUE,FALSE,NA,NA
"8","I moved the Kindle release date up to next Friday. So if you are one of our #ebook readers, you can pre-order and g… https://t.co/J3Cc3t0ccZ",FALSE,3,NA,2019-10-30 16:14:08,TRUE,NA,"1189576225951567878",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BlueRoseMag1",3,FALSE,FALSE,NA,NA
"9","RT @mintplusplus: Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/…",FALSE,0,NA,2019-10-30 16:12:48,FALSE,NA,"1189575889736126464",NA,"<a href=""http://www.placeholder.com"" rel=""nofollow"">Twin Peaks bot news</a>","TwinPeaksBotNew",2,TRUE,FALSE,NA,NA
"10","RT @mintplusplus: Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/…",FALSE,0,NA,2019-10-30 16:12:28,FALSE,NA,"1189575809452756992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vinylqueue",2,TRUE,FALSE,NA,NA
"11","Me when someone makes a pledge on our #TwinPeaks #EnamelPin Kickstarter campaign (https://t.co/uhtsZDy0K4): https://t.co/7i1h5aBVIO",FALSE,3,NA,2019-10-30 16:11:32,FALSE,NA,"1189575573049434112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mintplusplus",2,FALSE,FALSE,NA,NA
"12","You can subscribe to the Year 3 still and get Issues 9-13. 13 is the 30th tribute issue and ships next year. We shi… https://t.co/eKTvoa3xL2",FALSE,4,NA,2019-10-30 16:06:31,TRUE,NA,"1189574309037125632",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BlueRoseMag1",1,FALSE,FALSE,NA,NA
"13","RT @talkinbackward: Check out this damn fine #TwinPeaks enamel pin set from @mintplusplus!

Support their Kickstarter campaign before it en…",FALSE,0,NA,2019-10-30 16:05:01,FALSE,NA,"1189573932539469824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vinylqueue",1,TRUE,FALSE,NA,NA
"14","RT @Diadia72: Morning coffee <U+0001F5A4><U+2615><U+FE0F><U+0001F5A4>  Wish all you wonderful #TwinPeaks a damn fine Wednesday among the trees<U+0001F332><U+0001F332><U+0001F332>the art of balancing life is a…",FALSE,0,NA,2019-10-30 16:03:34,FALSE,NA,"1189573567228366848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArgenOm",7,TRUE,FALSE,NA,NA
